íÜñÏãÊ,15,18,19,24,29,33,41,43,46,50,53,62,66,67,70,77,79,82,83,90,90,93,136,145,147,148,148,151,152,155,155,158,165,166,173,173,173,174,174,176,177,214,214,214,218,221,221,223,223,223,223,225,225,225,225,225,225,226
êôï¿ãÊ,28,30,34,37,44,56,60,67,76,77,85,92,92,97,107,115,120,127,134,145,146,154,158,161,165,173,176,177,182,183,183,192,199,202,215,219,221,221,221,222,223,226,245,245,247,247,248,248,249,249,250,249,249,249,250,250,250,251
ñLìáãÊ,9,10,13,14,17,20,20,27,31,39,45,49,49,49,62,65,71,79,88,88,88,93,96,104,108,109,109,109,116,116,116,123,124,124,127,128,128,131,131,134,134,136,137,141,142,142,142,142,142,142,142,143,143,143,143,143,145,145
ñkãÊ,4,7,7,7,9,10,10,11,13,16,17,19,20,23,30,30,34,35,44,45,47,51,53,55,60,61,61,61,68,68,68,74,74,75,75,76,76,80,83,86,86,86,86,88,96,97,97,97,97,97,97,97,97,97,98,98,99,99
çrêÏãÊ ,2,2,3,3,5,6,7,7,7,8,10,11,13,13,13,13,13,13,13,13,14,17,18,20,22,22,22,22,22,27,29,35,40,45,45,45,45,45,45,45,45,55,78,78,79,79,79,79,79,79,79,80,80,80,80,80,80,80
î¬ã¥ãÊ ,4,6,9,13,15,20,23,24,30,32,37,38,46,47,50,51,51,57,64,66,69,75,76,77,81,84,85,86,86,89,91,92,95,97,99,99,99,99,99,100,101,133,135,137,138,138,139,139,139,139,139,139,139,139,139,139,139,139
ó˚înãÊ ,20,21,25,34,39,42,46,48,48,52,54,60,59,60,67,80,88,90,100,101,112,114,121,125,150,157,157,157,162,162,168,172,183,187,191,192,198,198,200,201,202,233,237,236,239,241,243,243,244,244,244,274,275,275,275,275,275,275
ë´óßãÊ,8,10,11,12,20,22,25,27,28,33,35,44,45,46,50,51,57,65,69,70,70,76,77,80,86,90,90,90,95,99,104,106,110,112,114,116,117,118,118,118,119,122,123,123,151,151,151,151,151,151,151,154,154,154,154,154,154,155
äãè¸ãÊ,6,14,14,16,18,19,26,29,29,34,35,44,44,44,46,48,59,64,77,78,80,81,83,87,90,93,93,93,95,96,97,100,109,109,109,110,110,110,110,116,116,121,121,132,132,132,132,132,132,132,132,133,133,133,134,134,134,134
ç]åÀêÏãÊ,8,8,11,11,13,15,16,16,18,21,25,39,43,43,47,52,59,70,77,81,84,87,90,96,100,102,107,107,111,113,113,116,121,121,123,124,124,124,125,125,125,138,139,139,140,140,140,140,140,140,140,140,140,140,140,141,142,142
î™â§éqés ,4,4,4,5,6,9,9,10,11,11,13,15,16,19,20,21,22,23,30,31,33,35,35,35,36,38,38,38,39,39,39,39,41,41,41,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,41,42,42,42,42,42,42,42
óßêÏés,0,0,0,0,0,2,2,3,3,5,5,8,8,8,8,8,9,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
ïêë†ñÏés,3,4,4,4,4,4,5,5,5,5,6,7,7,7,8,10,10,12,13,14,14,14,14,14,14,15,15,15,15,16,16,16,16,16,17,18,18,18,18,18,18,18,18,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
éOëÈés,7,7,7,7,8,8,8,9,12,12,12,13,13,14,14,16,18,20,20,20,21,22,23,24,24,25,25,25,25,26,26,26,26,27,27,27,27,27,27,27,27,27,27,27,28,28,28,28,28,28,28,28,28,28,29,29,29,29
ê¬î~és,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
 ï{íÜés,1,1,1,1,1,1,1,1,5,6,6,10,10,14,15,20,20,27,28,30,32,33,33,37,40,45,46,46,49,50,54,55,63,66,66,66,66,66,67,67,67,67,67,69,70,70,70,70,70,70,71,71,71,71,72,72,72,72
 è∫ìáés,0,0,0,1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,5,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
 í≤ïzés ,1,1,1,1,3,4,4,5,6,8,9,12,12,13,15,20,22,23,24,25,26,26,27,29,30,30,31,31,31,32,32,34,34,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,36,37,37
í¨ìcés ,6,10,10,10,11,14,16,16,20,20,20,21,22,23,24,25,26,28,30,31,31,34,34,34,36,39,39,40,41,41,41,43,45,45,46,46,47,47,47,48,50,50,52,52,52,53,53,53,53,53,53,53,53,53,53,53,53,53
è¨ã‡à‰és,1,2,2,2,2,3,3,4,5,5,8,8,8,8,8,8,8,9,9,10,10,10,10,11,12,13,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17
è¨ïΩés ,1,2,2,3,3,3,3,3,5,6,6,6,6,6,6,8,9,9,11,12,13,13,14,14,15,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,18,18,18,18,18,18,18,18,18,19,20,21,21,21,21
ì˙ñÏés ,3,4,4,4,6,6,8,8,8,9,10,11,11,12,12,12,12,13,13,13,14,16,16,16,16,17,17,17,18,18,18,18,18,18,18,18,18,18,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
ìåë∫éRés ,0,0,0,0,1,1,1,1,1,1,1,1,1,3,4,4,3,4,5,5,5,5,5,5,6,6,6,7,7,7,7,8,9,10,10,10,10,10,10,10,10,10,10,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
çëï™éõés ,0,0,0,0,0,0,0,0,2,3,3,3,3,3,3,5,5,6,6,6,6,7,7,10,10,12,11,11,11,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
çëóßés,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,3,3,4,4,4,4,4,4,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
ïüê∂és ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
çùç]és ,0,0,0,3,3,3,3,3,5,5,6,7,7,7,7,8,9,9,9,10,11,11,11,11,11,12,12,12,12,12,12,13,14,17,19,19,19,20,20,20,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
ìåëÂòaés ,1,1,1,1,1,1,2,2,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,8
ê¥ê£és,0,0,0,0,1,1,1,1,1,2,3,3,5,6,6,6,6,9,9,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,13,13,13,14,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
ìåãvóØïƒés,1,1,1,2,2,2,2,2,2,2,3,3,5,6,7,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15
ïêë†ë∫éRés,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
ëΩñÄés,0,0,0,0,0,0,0,0,0,0,0,5,5,7,8,12,13,16,19,19,19,21,21,23,24,28,28,28,28,28,28,29,29,29,29,29,29,29,29,29,29,28,28,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37
àÓèÈés,1,3,3,3,3,3,3,3,3,3,4,4,4,5,6,6,6,6,6,6,6,6,6,6,8,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,11,11,11,11,11,11,12,12,12,12,12,12,12,12,12
âHë∫és ,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Ç†Ç´ÇÈñÏés ,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,4,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
êºìåãûés,8,9,9,9,9,9,9,9,10,10,10,11,11,13,13,13,15,18,19,21,25,26,26,27,28,29,30,31,31,33,34,34,34,36,40,41,42,42,42,42,42,42,42,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
êêï‰í¨ ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1
ì˙ÇÃèoí¨,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,1,1,1,1,1,1
ûwå¥ë∫,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
âúëΩñÄí¨ ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
ëÂìáë∫,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
óòìáë∫,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
êVìáë∫,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
ê_í√ìáë∫,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
éOëÓë∫,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
å‰ë†ìáë∫ ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1
î™è‰ë∫ ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
ê¬Éñìáë∫,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0
